,Real x copy,Real nostr copy,Quote Copy From Report,Section of Report,Best Image,Link
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","It's still the best work I've found so far. The autonomy is great in a way, and the work is meaningful... You get even paid for it.","Free from authority, free to burn out",Social 4,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-57&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","You know, how bitcoiners say 'I'm in for the tech'... now I have a far broader view and a much more humanitarian goal in sight than just a technical one.",senior app dev style (quote 23),Social 5,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=1-2&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","At the start, I had little knowledge about Bitcoin... then I saw an opportunity, and I got really attached to the ideals and technology.","Free from authority, free to burn out",Social 5,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-66&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","It's nice to work for yourself, to have that freedom... but the curse is always that no one else is going to do it. So I've got to do it.","Permissionlessness attracts, then overwhelms",Social 4,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-33&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""",I can work whenever I want' translates to 'I can not work whenever I want.'... that's not sustainable.,"Permissionlessness attracts, then overwhelms (quote 11)",Social 1,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-2&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""",I guess that's always been the thing that's drawn me to Bitcoin... I don't have to ask permission from anyone. I can just do it.,"Permissionlessness attracts, then overwhelms",Social 4,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-74&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","I would love to be able to have a stricter routine. But on the other hand, it's great that I don't need to have one.","Permissionlessness attracts, then overwhelms",Social 1,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-83&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""",Everybody's burnt out. Everybody I work with is completely burnt out... It's the normal state of affairs.,"Experience enables, then exhausts",Social 2,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-46&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""",There's a hell of a lot of things to build... a sense of urgency because people will seek out alternatives if traditional rails fail.,"Experience enables, then exhausts",Social 5,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-93&m=dev
TRUE,"Direct quote from Permissionless Paths by @waye_dev
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]","""Direct quote from Permissionless Paths by @waye
 - the first research report to explore the human experience of permissionless systems.

Read the full report → [link]""","I think it was a big, long burnout. For a very long time, I just didn't know how to talk about it. Now I see where I am at.","Experience enables, then exhausts",Social 5,https://www.figma.com/design/nRnzfPlN5mdNxrHYqKjnCz/Social-share?node-id=7-101&m=dev
